编号（c开头）,事件类型,事件名,刷新条件,具体条件,刷新概率,刷新次数限制,事件性质,是否影响数值,是否影响地图,事件描述文案,选项1文案,选项1性质,选项1效果,选项后文案,选项2文案,选项2性质,选项2效果,选项后文案,选项3文案,选项3性质,选项3效果,选项后文案,选项4文案,选项4性质,选项4效果,选项后文案,选项5文案,选项5性质,选项5效果,选项后文案
c011,工作,人机,无,,正常,,,,,同事让你帮忙打印三份彩色双面A4文件送到上司办公室，你...,不打,,心理健康-5,你没有打文件，所以同事打了你。,打三份彩色单面A4文件送给上司,,心理健康-5,你打错了，所以同事打了你。,打三份黑白单面B3文件送给老板,,心理健康+5,你打错了，还不小心送给了老板，老板因此发现同事和上司正在密谋跳槽，你立功了。,打三份黑白双面A4文件送给老板,,心理健康+5,你打错了，还不小心送给了老板，老板因此发现同事和上司正在密谋跳槽，你立功了。,打三份彩色双面A4文件送给上司,,无,打对了！上司很感谢你，送给了你一份大礼。恭喜你获得物品：上司的感谢。
c012,工作,公司团建,无,,正常,,,,,今天是团建日，老板问大家有没有什么想玩的小游戏，你想了想，说...,你的感情极其幽默,,心理健康+20,老板以为你在骂人，扣了你半个月工资。,不要做挑战,,心理健康+10,老板欣然同意，你们爽玩一下午，从此所有人都爱上了玩不要做挑战，你们公司成为了靠录不要做挑战视频起家的MCN公司。,技能五子棋,,心理健康-10,你们在公司里又唱又跳，被竞争对手举报涉嫌组织鞋教活动，全部蹲进局子。,阿酷奈茨,,心理健康-5,马屁拍到马背上，老板喜欢的是来自星辰！,,,,
c013,工作,心仪游戏发售,无,,正常,,,,,心心念念等了几年的游戏明天就要发售了，你本准备宅家爽玩一天，却发现明天还是工作日。你决定……,装病请假,正常,心理健康+5,老板批准了你的请假。但是这一天有太多人请病假，老板怀疑有流感席卷公司。,直球请假,混沌,,老板没有准你的假，而是让你专心玩游戏，以后不用来上班了。,工位摸鱼,混沌,心理健康-20,工位的电脑根本带不动这部大作，反而震天的风扇声还把老板吸引了过来。你只得解释电脑可能中了病毒正在挖矿……,独乐乐不如众乐乐,,心理健康+10,你和几位同事在摸鱼时热聊这部作品，结果被老板发现。没想到老板也是这部作品的铁杆粉丝，他照例批评了你们，但你们的工作群从此以后变成了作品同好群。,老实上班,,心理健康-5,你保持了这个月的全勤，没人知道你这一天都像身上有蚂蚁在爬。
c014,工作,拖欠工资,无,,正常,,,,,你的老板已经两个月没发过工资了，同事们议论纷纷，不少人去问老板原因，却始终得不到明确的答复。你决定...,直接起诉,极端,心理健康＋1,面对你拟好的诉状和带来的律师，老板流下了动感的眼泪，哭诉公司经营不善才导致最近没钱发工资。为了平息你的怒火，老板偷偷给你转了一笔钱，但你的同事们什么也没得到。,（扑通跪下）求老板发发善心,保守,心理健康+3,虽然老板鸟都不鸟你，同事们却很感动，认为你勇气可嘉，请你吃了一个月午饭。,怂恿同事闹事,混沌,心理健康+2,不知道具体怎么操作的，但你听说没过多久同事直接成为了新老板。她很感激你曾经对她的支持和鼓励，给你升职加薪。,不干了,极端,心理健康-20,此举甚有骨气！现在去重新找一份工作吧～,,,,
c015,娱乐,恋爱脑朋友倾诉1,无,,高,无,中性,影响己方,否,“他说他工作很忙不能陪我，结果半夜三点还在双排打游戏。” 朋友再一次向你倾诉自己的恋爱苦恼，你...,分手吧，他不爱你！,积极,心理健康-5,朋友不解地看着你：“可是我爱ta呀！”,你可以和他好好沟通,正常,心理健康-3,岂料朋友的恋爱对象是一个无法沟通者，两人鏖战许久，朋友无功而返。,凑合过吧,保守,心理健康-1,朋友叹了口气，没说什么。,那你和我在一起吧,混沌,无,朋友好像真的在考虑。,,,,
c016,娱乐,恋爱脑朋友倾诉2,无,,高,,,,,“他说他前女友要来找他，我不敢不同意。” 朋友再一次向你倾诉自己的恋爱苦恼，你...,分手吧，他不爱你！,积极,心理健康-5,朋友不解地看着你：“可是我爱ta呀！”,你能不能打他一顿,积极,心理健康-,朋友左手微动，轻轻捏爆了一个玻璃杯。,装疯卖傻,混沌,心理健康+1,你深吸一口气：“不要总比较利弊。比利时，是一个欧洲国家。利弊相比时，比利比利。比少于利，多利是一只克隆羊。利少于弊，多弊 is free。弊利祠下，一片神鸦社鼓。” 朋友目瞪口呆，被你吓哭了。,那你和我在一起吧,混沌,无,朋友好像真的在考虑。,,,,
c017,娱乐,恋爱脑朋友倾诉3,无,,高,,,,,“他说以他的条件能找到更好的女朋友。” 朋友再一次向你倾诉自己的恋爱苦恼，你...,分手吧，他不爱你！,积极,心理健康-5,朋友不解地看着你：“可是我爱ta呀！”,你俩同归于尽行吗,极端,心理健康-3,朋友眼前一亮：“我去不早说！” 随后消失在了你面前。,骂她一顿,正常,心理健康+3,朋友吓哭了，一边哭一边记笔记。,那你和我在一起吧,混沌,无,朋友好像真的在考虑。,,,,
c018,娱乐,恋爱脑朋友觉醒,无,,低,,,,,终于，朋友下定决心与男朋友分手，你希望她...,大骂傻叉一顿,,心理健康＋2,朋友如你所愿大骂傻叉一顿，神清气爽，她的前男友当场吓哭，再也没有打扰过你们的生活。,好聚好散,,心理健康-1,朋友如你所愿和男友去吃饭逛街看电影后分手，气氛一度温馨。谁料此人并非善类，在外大肆宣扬他像太阳一样温暖了你的朋友，所有人听完都力竭了。,阴他一手,,心理健康-2,你们准备好了分手惊吓，但由于对方走错见面地点，朋友无心吓他，只是草草地骂了他一顿就分手了。唉，真可惜！,跟他说你性取向变了,,心理健康+1,没过多久，你发现朋友的前男友变性了。,,,,
c019,娱乐,朋友前夫哥报复,无,,低,,,,,某天下午，朋友的前男友把你拦在街上质问你：“为什么怂恿那个人和我分手？”,因为你是渣男,,心理健康+2,朋友的前男友和你对喷许久，发现他骂不过你，灰溜溜地离开了。,不是我干的！,,心理健康,你把责任推卸给了你们的另一个共同好友，并贴心地附上了对方目前所在位置：巴布新几内亚。现在，朋友的前男友气势汹汹往机场去了。,因为我喜欢你,,无,朋友的前男友考虑良久：“其实也不是不行...” 回过神来，你已经跑到很远的地方了。,因为你有脚气,,无,朋友的前男友大惊失色：“你怎么知道的？” 你告诉他这是人之常情，不必感到羞耻，并给他打车送到了治脚气的老中医诊所。,,,,
c021,娱乐,大师算卦,无,,正常,,,,,大师说：“welcome back to my channel，请在以下四组参照物中选择最有感应的一组，测测你未来的运势吧！”,花,,心理健康＋1,第一组的小伙伴们你们好，选择这一组呢，你们有一种不断绽放的能量在。就像是一颗种子破土一样，未来三个月你可能会收到期待很久的机会或者邀约，单身的小伙伴可能通过共同好友结识你们的正缘。觉得准可以在弹幕上发发“准”哦！我们下期再见！,太阳,,羁绊值＋1,选择第二组的小伙伴呢，你们马上就要迎来一段高光期，记得保持努力和积极哦，这样更容易得到看见和认可。你们的感情也是非常热烈直率，遇到喜欢的人记得主动出击。觉得准的小伙伴可以在弹幕上发发“接好运”～我们下期再见！,雨,,心理健康-1,选择第三组的小伙伴们，你们的运势正在经历一场必要的转折，可能在工作或者生活中经历一些挫折、混乱，但是雨后一定会有彩虹，经过低谷才会向上走。这段时间比起认识新人，更适合与旧人和解。觉得准就给我点个赞吧，咱们下期再见～,大精灵,,心理健康＋1,选择这一组的小伙伴呢，你们的未来关键词是整合与圆满。这段时间你们可以尽量回避无效社交，专注核心技能提升，稳稳地拿下属于自己的阶段性成果。而且这组的小伙伴很容易在未来几个月吸引到灵魂伴侣，对方可能正在等待你和ta相遇。觉得准的话可以转发给身边的朋友哦，咱们下期再见！,,,,
c022,娱乐,买谷,无,,正常,,,,,心情悠闲地逛谷子店，要买哪个呢？,爽抽盲盒,,心理健康-1,抽到了你最喜欢的角色！,痛衣,,心理健康＋1,回头率百分百。,角色香水,,心理健康-2,好难闻，挂咸鱼上卖了。,亚克力制品,,心理健康＋1,摆阵后发到同好群，大家称你为砖王。,等身抱枕,,心理健康＋1,拿到手一看，怎么比你还高。
c023,娱乐,逛展,无,,正常,,,,,你是一款徜徉在展览的可爱游客，走来走去直到腿脚酸软，（广告位招租），累并快乐着。,太爽了！,,心理健康＋5,,,,,,,,,,,,,,,,,
c024,娱乐,睡大觉,无,,正常,,,,,床是粘鼠板，而你呢是一只老鼠。这下睡爽了。,zzz...,,心理健康＋2,,,,,,,,,,,,,,,,,
c025,娱乐,玩游戏,无,,正常,,,,,嘿嘿嘿，小游戏真好玩。,点点点,,心理健康＋1,,,,,,,,,,,,,,,,,
c026,娱乐,看小说,无,,正常,,,,,"第一章：被驱逐的高手
第二章：系统？
第三千七百六十章：我为天帝",催更,,心理健康＋3,,,,,,,,,,,,,,,,,
c027,娱乐,和群友吹水,无,,正常,,,,,整个群都是史学家的感觉真好啊。,发表高见,,心理健康+5,,,,,,,,,,,,,,,,,
c028,娱乐,看电视剧,无,,正常,,,,,男主说：你就是瞎了眼看上我这条狗，我就是瞎了狗眼没看上你，太痛苦了！,关掉,,心理健康-1 羁绊值＋1,,,,,,,,,,,,,,,,,
c029,休息,休息,无,,必定,无,中性,影响己方,否,你好好休息了一天,好好休息,积极,心理健康+5,,,,,,,,,,,,,,,,,
c030,和ta互动,逛商场,无,,正常,,,,,你打算给（对方姓名）买一件合身的衣服。,狠狠消费,,羁绊值＋1 心理健康-1,,价格实惠就好,,羁绊值＋1,,清仓九块九,,羁绊值-3,,,,,,,,,
c031,和ta互动,看电影,无,,正常,,,,,电影很难看，但你们吃了三大桶爆米花。回去的路上，你说：“这真是一部难看的...”,爱情片,,羁绊值-5,,小情节电影,,羁绊值-10,,文艺片,,心理健康-1,,话剧录像,,心理健康-2,,,,,
c032,和ta互动,下馆子,无,,正常,,,,,太好吃了，有家的味道！,好吃好吃，爽爽爽,,心理健康＋2,,,,,,,,,,,,,,,,,
c033,和ta互动,看演唱会,无,,正常,,,,,（对方姓名）用你的身份证抢到了一张票，你又托关系搞到一张票，这下终于可以一起去看演唱会了！,我要听河南,,羁绊值＋10,,我要听月季雨,,羁绊值＋5,,我要听后后后室,,羁绊值＋3,,我要睡觉,,羁绊值-10,,,,,
c034,和ta互动,旅游,无,,正常,,,,,路边摄影师收了你们三十块，给你们拍了一张猎奇丑照。,666,,心理健康-5,,,,,,,,,,,,,,,,,
c035,和ta互动,爬山,无,,正常,,,,,尖叫！扭曲！阴暗地爬行！终于到山顶了！,嘿嘿,,心理健康＋5,,,,,,,,,,,,,,,,,
c036,和ta互动,去图书馆,无,,正常,,,,,在图书馆靠在一起睡着了，什么也没干。,在梦里学习,,羁绊值＋5,,,,,,,,,,,,,,,,,
c037,和ta互动,撸猫,无,,正常,,,,,喵喵喵？喵喵，喵喵喵喵喵！,喵喵喵,,羁绊值＋10,,,,,,,,,,,,,,,,,
c038,和ta互动,彻夜长谈,无,,正常,,,,,我这里天气凉凉的，那里呢？,我这里天气很炎热，那里呢？,,羁绊值＋5,,,,,,,,,,,,,,,,,
c039,和ta互动,看比赛,无,,正常,,,,,主队送出一血，主队颓势尽显，主队败局已定，让我们恭喜你的主队获得总冠军！,清算对家,,心理健康＋2,,虎扑打分,,心理健康＋6 ,,睡前阅读超话,,心理健康＋3,,看串子视频,,心理健康＋10,,,,,
c040,自我提升,阅读,无,,正常,,,,,,,,,,,,,,,,,,,,,,,,,
c041,自我提升,学习,无,,正常,,,,,,,,,,,,,,,,,,,,,,,,,
